Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I might hire someone,We need to replace our old fence 6feet length and 5 feet (1.5 meters) height
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Only a small job I think we need 3panels
Business or commercial property,Replacement of the existing gate,Steel,6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Fences are already attached either side. 4 fences and 1 double gate are missing. They were previously in place but were taken down.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,Two gates,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Single-story home (Bungalow),And stile,"Wooden posts,  normal fencewire",As advised by a qualified professional,50-100 feet (15-30 meters)  No gates required,One gate stile,Yes - I would like the professional to supply the materials,Extended vertically as far as possible,I'm flexible,I'm certain I'll be hiring someone,"Normal five - foot fence, extended vertically to the ten- foot mark by battens on each post, at the top of which there's a horizontal radio aerial running round.     Small gate to provide access to rear of hedge for maintenance."
Single-story home (Bungalow),"Use replacement fence to support a horizontal ""long wire"" radio aerial, install a stile for access to rear of hedge",Wooden stile,"Aerial 10 feet high, normal fence part 5 feet (1.5 meters) high art 5 geet",50-100 feet (15-30 meters),One stile,Yes - I would like the professional to supply the materials,Once installed should require no further treatment,I'm flexible,I'm still researching and exploring options,"Normal 5ft fence, extended to 10ft high at each post."
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm certain I'll be hiring someone,There is a fallen fence which needs taken away
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),120,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,As advised by a qualified professional,100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,I have a wall which I would to hide behind a Composite materials fence
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,Within the next few months,"I am moving Detached - semi-detached or terraced house,and I am checking prices",
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Apartment or flat,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Remove existing fence and install new with gate
Detached - semi-detached or terraced house,Replacement of the existing fence,Composite materials,6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I might hire someone,
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Wood staining,Within the next few months,I'm leaning towards hiring someone,"I have an existing fence. I would like a quote on Fence and/or gate painting it and replacing a few panels. Some of it is leaning, but not sure what work this would be the fix it... this may be in a future job."
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Fence and/or gate painting,Within the next few months,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Installation of a new gate,Wrought iron,5 feet (1.5 meters),Unsure,Not sure,Yes - I would like the professional to supply the materials,Not sure,Within the next few months,I'm still researching and exploring options,Interested in a secure electric gates please
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,2 and a half fence panels need replacing
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Need back fence replaced as old ones one just about to fall down
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6ft and 2 ft in some parts,Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,I'm flexible,I'm still researching and exploring options,"Fence down driveway is broken, could do with a new fence, and gate (locks broken)"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm leaning towards hiring someone,Photos attached of current fence that needs replacing. It's to low.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,The fence is about 7 - 8 meters in length  And the height should match the neighbours which it should be around 2 metres.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,"I have a missing bit in one fence panel, one post is loose, missing bit in another fence panel"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Fence and/or gate painting,As soon as possible,I'm ready to hire immediately,Some plants to be removed
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Replace gate full width of path. Similar wood fence to gate - no metal side panel. Concrete spur posts to support wood posts - 3.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Need to replace crumbling concrete posts. Include new concrete gravel boards.
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Just need one fence panel delivered
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,No - I will be providing the materials myself,Don't know,I'm flexible,I'm still researching and exploring options,I need quote on fencing panels along with some clearance
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,1 x short length 1 x short breadth 1 x long length not sure of measurements
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,It’s just a garden fence
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),It's only eleven feet long,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,It's only a small job and the old fence is only plastic cladding
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Fence replaced at the top of the garden. Length is 22.80 feet in Length. Currently has different size panels so likely to need new posts fitting.
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I might hire someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Replacing 4 fence panels and concrete posts
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Unsure,No gates required,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Post broken but fence panels in tact
Detached - semi-detached or terraced house,Repair of the existing gate,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Need a single panel and lock replaced/repaired on one of my wooden gates
Detached - semi-detached or terraced house,install two concrete posts and 10 gravel boards,concrete,6 feet (1.8 meters),50-100 feet (15-30 meters),none,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,To remove  one broken concrete post and one wooden. To install ten gravel boards along the bottom of the exsisting fence.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Concrete,5 feet (1.5 meters),More than 300 feet (over 90 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Old fence which is all wood needs to be removed
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Fencing coming off short 2.5m block wall. Concrete posts running to end. 12m in length. Party wall requiring same fence style both sides
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,Within the next few months,I'm still researching and exploring options,"I want the 14 wooden panels replaced, removed and 1 new gate with frame please"
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,Would like a quote for panel  down and one for panel down and one next to it to see if price is right to get both done together
Detached - semi-detached or terraced house,Installation of a new gate,Timber/Wood (commonly used),4 feet (1.2 meters),N/A  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,As soon as possible,I'm still researching and exploring options,Clearance of existing wire fence and installation of gate
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters)  No gates required,One gate,No - I will be providing the materials myself,No additional services required,As soon as possible,I'm ready to hire immediately,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,Price.
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,depending on price,Need a part of the fence replacing.  looking for quote
Cottage,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,Small fence required have own gate would like a quote
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),8 feet (2.4 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,I'm looking to replace the rear garden fence which is 2-2 planels. recently replaced the side fence with 300mm concrete post and gravel boards so would like the same for the rear.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,New garden fences and gate
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I might hire someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),More than 300 feet (over 90 meters),Four or more gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,I need new Garden fencing and side fencing to be installed.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,according to price,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"After storm damage a low wire fence was erected to replace a wooden fence, however we have now decided to replace the original one."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,It's got a back yard around 7 panels and a large wooden gate.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Garden fence replacement and fitting
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,No - I will be providing the materials myself,No additional services required,Within the next few months,I'm certain I'll be hiring someone,Current fence is bokken  needs replacing and possible concrete for the bottom.  I'm  not entirely sure if the current fence in sitting on bricks or in the soil
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,New fencing around a small garden area
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I might hire someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few days,I'm leaning towards hiring someone,easy to get to.
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,6 feet (1.8 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm still researching and exploring options,Researching
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Will need some new panels but some posts are ok,Repair some parts of fence aswell as instal new,As soon as possible,Need the work carried out As soon as possible depending on cost,Replace and repair fence. 3 new panels and repairing 2 posts that have come loose.
Detached - semi-detached or terraced house,Installation of a new gate,Composite materials,6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm ready to hire immediately,Fencing and gate
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,fence
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Require back fence to be replaced as our fence is just a out coming down
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,I need 4 fence panels replaced and gravel boards  3  gravel boards one is ok ..posts are already in . 6 x4
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),8 feet (2.4 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Posts are in and need feather edge lengths put on my side of the fence to look nice as the moment we have the horizontal baton side
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),Eleven ft,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,The fence to come down is only made of a light weight plastic cladding and the length is eleven feet long
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Fencing to be done please
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),More than 300 feet (over 90 meters),Two gates,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm leaning towards hiring someone,To install fence
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,No - I will be providing the materials myself,Fence and/or gate painting,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,"Fence and/or gate painting, Application of sealant, Wood staining",I'm flexible,I'm still researching and exploring options,Replace old fence. Only access through front door
Detached - semi-detached or terraced house,Replace fence and gates,Wood and concrete,7 feet (2.1 meters),Unsure,One sliding gate,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm ready to hire immediately,Replace existing fence and gates with concrete posts and wood fill in. Gate to be sliding
Single-story home (Bungalow),Installation of a new fence,As advised by a qualified professional,5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Apartment or flat,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,Seeking quotes. Cash payment will require planning to take money out of the bank,"Congestion charge area, Ulez. Stairs to garden would like an onsite visit for accurate quote. 4 posts, 2meters high, approx 5m long"
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Removing existing fence,Within the next few months,I'm certain I'll be hiring someone,"Remove old fence. We did have a shed where the fence was but since removing it, we can see that a new one is needed."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,"Due to the original fence being destroyed in a previous storm, looking for an installation of a 6 foot fence approximately 10m long from Detached - semi-detached or terraced house to back wall."
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,Three gates,No - I will be providing the materials myself,No additional services required,Within the next few weeks,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),200-300 feet (60-90 meters),Four or more gates,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,I'm looking for quotes to have new fencing put along onesie of my garden as we are going to be taking some old ones down which are damaged by some IVY. Probably need about 3-4 fence panels and posts.
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,
Horse paddocks,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,Unsure,Two gates,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,Half height fencing is falling apart.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),8 feet (2.4 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Wood staining,Within the next few weeks,I'm certain I'll be hiring someone,Ggggh
Single-story home (Bungalow),Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing gate,Timber/Wood (commonly used),4 feet (1.2 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm leaning towards hiring someone,Replace garden gate and fence
